,venue,date,age,price,location,event_description,event_name
0,Asian Art Museum,"Thursday, February 16, 2023 - 5:00 pm to 8:00 pm",13-17,"$10 for adults, $8.50 for seniors, students and youths","200 Larkin Street San Francisco, CA Civic Center San Francisco",,Asian Art Museum’s $10 Thursday Nights (SF)
1,Asian Art Museum,"Thursday, February 16, 2023 - 5:00 pm to 8:00 pm",13-17,"$10 for adults, $8.50 for seniors, students and youths","200 Larkin Street San Francisco, CA Civic Center San Francisco","The Asian Art Museum is open until 8 pm on Thursdays and general admission is just $10 (that's half-off). Plus Special exhibitions are now included with general admission tickets! You can spend an evening in their beautiful building enjoying the galleries, fun talks, lively gatherings and intimate hangs with artists. Except for certain special events, general admission tickets are $10 for adults, $8.50 for seniors, $7 for students and youths (age 13-17).",Asian Art Museum’s $10 Thursday Nights (SF)
2,Museum of Craft and Design,"Thursday, February 16, 2023  - 5:30 pm to 9:00 pm",,$8,"2569 Third Street, San Francisco, CA 94107DogpatchSan Francisco",The event is about making things in the dark.,“Glow in the Dark” After Hours at SF’s Museum of Craft and Design
3,Del Mar,"Thursday, February 16, 2023 - 7:00 pm to 2:00 am",No cover all night,Free,"2125 Lombard St, San Francisco, CA 94123Cow Hollow, MarinaSan Francisco",,“Throwback Thursday” at Del Mar: ’90s to ’00s Party (SF)
4,Grace Cathedral,"Thursday, February 16, 2023 - 7:30 pm to 9:30 pm",General Admission,USD 25.00,"1100 California Street. San Francisco, CANob HillSan Francisco",,“That Week with the Bachs” New Musical at Grace Cathedral (Feb 16-18)
5,Cobb's Comedy Club,"Thursday, February 16, 2023 - 8:00 pm to 10:00 pm",18 & over with valid photo ID,Free with RSVP,"915 Columbus Ave, San Francisco, CA 94133North BeachSan Francisco","Funcheap and HellaFunny are taking over Cobb’s Comedy Club for a night of comedy. 

This event is a free show with a RSVP requirement. The show will feature some of SF’s top local comedians, and the admission is first come first served.",Secret Guest List: Cobb’s Free Comedy Night (Feb. 16)
6,Anchor Public Taps,"Thursday, February 16, 2023 - 5:30 pm to 7:30 pm",,$60*,"495 De Haro St., San Francisco, CA Potrero Hill San Francisco",The event is a brewer-led tasting of barrel-aged barleywines.,SF Beer Week at Anchor Brewing: Barrel-Aged Barleywine Tasting
7,Milk Bar,"Thursday, February 16, 2023 - 7:30 pm to 9:00 pm",FREE,FREE,"1840 Haight Street, San Francisco, CAUpper HaightSan Francisco",,Paradise Comedy Presents : A Stand Up Comedy Show (SF)
8,Grace Cathedral,"Friday, February 17, 2023 - 7:30 pm to 9:30 pm",General Admission,USD 25.00,"1100 California Street. San Francisco, CANob HillSan Francisco","The event is a special presentation of a new chamber musical that will be performed at Grace Cathedral over the course of seven days. 

The event will feature seven members of the Bach family collaborating to create the seven movements of Cantata 140.",“That Week with the Bachs” New Musical at Grace Cathedral (Feb 16-18)
9,Grace Cathedral,"Friday, February 17, 2023 - 7:30 pm to 9:30 pm",General Admission,USD 25.00,"1100 California Street. San Francisco, CANob HillSan Francisco",The event is a special presentation of a new chamber musical that will be performed at Grace Cathedral in San Francisco. The event will feature seven days of performances by seven different members of the Bach family.,“That Week with the Bachs” New Musical at Grace Cathedral (Feb 16-18)
10,Speakeasy Brewery,"Friday, February 17, 2023 - 8:00 pm to 9:30 pm",,FREE with secret code FUNCHEAPGUEST. Normally $5-15.,"1195 Evans Avenue, San Francisco, CA 94124Bayview / Hunters PointSan Francisco",,SF’s Winterfest Beer & Comedy Festival 2023 (Speakeasy Brewery)
11,San Francisco Playhouse,"Friday, February 17, 2023  - 8:00 pm to 10:20 pm",,$18*,"450 Post St., San Francisco, CAUnion Square / DowntownSan Francisco",The play is about a Native American woman who is trying to balance between her traditional basket-making culture and the inroads on reservation life of the casino.,40% Off Tix: “Cashed Out” World Premiere at San Francisco Playhouse (Thru Feb. 25)
12,Palace of Fine Arts,"Friday, February 17, 2023 - 10:00 pm to 11:30 pm",No age requirement,Enter to win a pair of tickets to the just added late 10pm show,"3301 Lyon Street, San Francisco, CA 94123MarinaSan Francisco","The contest for John Early Live at the Palace of Fine Arts (SF) has ended. 
Some evil web browsers and adblocker plug-ins disable our contest entry form. Please try a different browser, or if you're behind a corporate firewall, you may need to try on your home computer.Don’t miss an evening of music and musings with star of stage and screen, John Early.He’s best known to TV audiences for staring in HBO Max’s “Search Party” which just finished its five season run and co-starring in Apple’s “The Afterparty” with Tiffany Haddish. His storied Brooklyn stand-up comedy was also featured in his own half-hour “The Characters” special on Netflix. Now you can see him live at the historic Palace of Fine Arts in San Francisco with special guests Michael Hesslein and Vicky with a V.Double your chances to win by entering our Steve Early contest on Instagram.
Disclaimer: Please double check event information with the event organizer as events can be canceled, details can change after they are added to our calendar, and errors do occur.",Win Tix: John Early Live at the Palace of Fine Arts (SF)
13,Heron's Head Park,"Friday, February 17, 2023 - 2:00 pm to 3:00 pm",Free,FREE,"Cargo Way & Jennings St, San Francisco, CABayview / Hunters PointSan Francisco",Amateur Birding Hour at the EcoCenter in Heron’s Head Park is a free event where people can check out the more than 100 species of birds that visit the park.,SF’s Free “Birding Hour” w/ Binoculars Provided at Heron’s Head Park (Feb-May)
14,Monroe,"Friday, February 17, 2023 - 5:00 pm to 11:00 pm",Free / RSVP,FREE*,"473 Broadway Street, San Francisco, CA North Beach San Francisco","The event is called the ""Battle of the Decades"" and it takes place every Friday at 5pm. There are different drink prices for each hour, with the cheapest drink being $1 during the '60s hour.",$1 Drink Fridays: “Battle of the Decades” DJ Party (North Beach)
15,Golden Gate Park (Peacock Meadow),"Friday, February 17, 2023  - 6:00 pm to 7:00 pm",Free,FREE,"240 John F Kennedy Dr, San Francisco, CA 94117Golden Gate ParkSan Francisco",The event is a celebration of Mardi Gras.,Free Outdoor Salsa Dance Class in GG Park’s Glowing Forest (SF)
16,Fish and Farm,"Friday, February 17, 2023 - 7:00 pm",Free / RSVP,FREE,"424 Clay St, San Francisco, CAFinancial DistrictSan Francisco","The event is a comedy show featuring up-and-coming comedians. It is taking place at Fish & Farm, which is located in the Financial District. The show is on Friday nights and features comedians from all over the country. The event is free and there is ample parking.",“Deep Cut Comedy” Live Stand Up at Fish & Farm (SF)
17,Milk Bar,"Friday, February 17, 2023 - 8:00 pm to 9:30 pm",,FREE,"1840 Haight Street, San Francisco, CAUpper HaightSan Francisco",,San Francisco is a Joke : A Stand Up Comedy Show (SF)
18,Grace Cathedral,"Saturday, February 18, 2023  - 2:00 pm to 6:00 pm",,"USD 25.00, Premium: USD 60.00","1100 California Street. San Francisco, CANob HillSan Francisco",The event is a special presentation of a new chamber musical that will be performed at Grace Cathedral over the course of seven days. The event will feature seven members of the Bach family collaborating to create the seven movements of Cantata 140.,“That Week with the Bachs” New Musical at Grace Cathedral (Feb 16-18)
19,Grace Cathedral,"Saturday, February 18, 2023  - 2:00 pm to 6:00 pm",,"USD 25.00, Premium: USD 60.00","1100 California Street. San Francisco, CANob HillSan Francisco","This event is part of Spacious Grace, an annual free-form arts festival at Grace Cathedral where seven days in seven scenes during which seven members of the Bach family collaborate to create the seven movements of Cantata 140. The event will feature Merola and Adler Fellow and San Francisco Opera regular Philip Skinner and Marnie Breckenridge as Mr. and Mrs. Bach, and the legendary Frederica von Stade as the Narrator.",“That Week with the Bachs” New Musical at Grace Cathedral (Feb 16-18)
20,Secret Location (SF),"Saturday, February 18, 2023 - 7:00 pm to 10:30 pm",,$15*,"San Francisco, CA",,SF’s Tiki Bar “HellaSecret” Comedy Show (7p + 9p Shows)
21,Neck of The Woods,"Saturday, February 18, 2023 - 7:00 pm to 9:00 pm",Free / RSVP,Donations ($5-$10) greatly appreciated. $10 adv / $15 door tickets also required,"406 Clement Street, San Francisco, CA Richmond District San Francisco",,“Crazy Funny Asians” Comedy Showcase (SF)
22,Mayes Oyster House,"Saturday, February 18, 2023 - 7:00 pm to 10:30 pm",,Free with RSVP (normally $15-20). Two drink minimum required,"1233 Polk St. San Francisco, CA 94154Polk Gulch, TenderloinSan Francisco","Comedians with Criminal Records is a showcase of professional comics who have had troubles with the law in the past. 
Every Saturday night, there are seven shows with a different lineup of comics. 
The first show is free and the drinks are $15-20. To get tickets, you need to be on the guest list, which is limited to the first 75 people per show. 
The event takes place at the historic MAYES OYSTER HOUSE, one of the most historic bars on Polk Street.",“Comedians with Criminal Records” Live in SF (2023)
23,San Francisco Playhouse,"Saturday, February 18, 2023  - 8:00 pm to 10:20 pm",,$18*,"450 Post St., San Francisco, CAUnion Square / DowntownSan Francisco",The play Cashed Out is about a Native American woman who is trying to balance her traditional basket-making culture with the inroads that the casino has made on the reservation.,40% Off Tix: “Cashed Out” World Premiere at San Francisco Playhouse (Thru Feb. 25)
24,Neck of The Woods,"Saturday, February 18, 2023 - 10:30 pm to 2:00 am",18+,"$10 with code FUNCHEAP, otherwise $15-20","406 Clement Street, San Francisco, CA Richmond District San Francisco",,No Scrubs: ’90s Hip Hop and R&B Night (SF)
25,de Young Museum,"Saturday, February 18, 2023  - 9:30 am to 5:15 pm",Free / RSVP,FREE*,"50 Hagiwara Tea Garden Drive, San Francisco, CA Golden Gate Park San Francisco","The de Young Museum offers free general admission to Bay Area residents on Saturdays. The free admission includes access to the permanent collection galleries, which offer engaging art experiences for the entire family. The event is timed ticket reservations typically from 9:30a to 4:30p, and visitors ages 17 and under always receive free admission. The event could be changed or canceled at anytime, so please double check event information with the event organizer before attending.",Free de Young Museum Day for Bay Area Residents (Every Saturday)
26,Legion of Honor,"Saturday, February 18, 2023  - 9:30 am to 5:15 pm",Free,RSVP,"100 34th Avenue, San Francisco, CA 94121Lands EndSan Francisco","The Legion of Honor offers free general admission to the permanent galleries to Bay Area residents. Advanced tickets are required, and capacity is limited due to COVID-19 precautions.

This Saturday, visitors can enjoy engaging art experiences for the entire family, including art-making, gallery guides, and tours with discussion and sketching in the permanent galleries. Legion of Honor also offers a $15 discount on tickets to special exhibitions for Essential Critical Infrastructure Workers, through December 2021.",Free “Legion of Honor” Museum Day for Bay Area Residents (Every Saturday)
27,Golden Gate Park (Peacock Meadow),"Saturday, February 18, 2023  - 4:00 pm to 6:00 pm",Free,FREE,"240 John F Kennedy Dr, San Francisco, CA 94117Golden Gate ParkSan Francisco",,Free Art Making Day in Golden Gate Park’s “Peacock Meadow” Glowing Forest
28,Golden Gate Park (Peacock Meadow),"Saturday, February 18, 2023  - 4:00 pm to 6:00 pm",Free,FREE,"240 John F Kennedy Dr, San Francisco, CA 94117Golden Gate ParkSan Francisco",,Free Mardi Gras & Stilt Walking Night in Golden Gate Park’s “Peacock Meadow” Glowing Forest
29,Neck of The Woods,"Saturday, February 18, 2023 - 7:00 pm to 9:00 pm",,Free with RSVP for first 100 people. $10 advanced tickets or $15 at door without RSVP,"406 Clement Street, San Francisco, CA Richmond District San Francisco","The event is a comedy night at a new club in San Francisco. The comedians of Indian, Pakistani, Sri Lankan, Bangladeshi, Afghani, and South Asian descent will be showcased.",SF’s HellaDesi Comedy Night (Every Saturday)
30,Monarch,"Saturday, February 18, 2023 - 9:00 pm to 2:00 am",Free / RSVP,FREE*,"101 6th St., San Francisco, CA SoMa San Francisco",,“Trust Me You Can Dance” at Monarch (SF)
31,Sunset Mercantile,"Sunday, February 19, 2023 - 9:00 am to 2:00 pm",Free,Free,"37th Avenue between Ortega & Pacheco St., San Francisco, CA Sunset District San Francisco","The Outer Sunset Farmers Market is a weekly market that takes place at 37th Ave. and Ortega St. in San Francisco. The market features local farmers, ranchers, food artisans, live music, children's activities, vendors, makers, merchants, artists, and local organizations.",Outer Sunset Farmers Market & Mercantile 2023
32,Sunset Mercantile,"Sunday, February 19, 2023 - 9:00 am to 2:00 pm",Free,Free,"37th Avenue between Ortega & Pacheco St., San Francisco, CA Sunset District San Francisco",,Outer Sunset Farmers Market & Mercantile 2023
33,Neck of The Woods,"Sunday, February 19, 2023 - 7:00 pm to 9:00 pm",Free / RSVP,Donations ($5-$10) greatly appreciated. $10 adv / $15 door tickets also required,"406 Clement Street, San Francisco, CA Richmond District San Francisco","This event is a comedy showcase where Bay Area comedians will perform. Some of the comedians who will be performing include K. Cheng, Khmers of Comedy, and Funcheap. The event is free to attend, but tickets are required in order to gain entry. The event will take place at Neck of the Woods in San Francisco on Saturdays and Sundays. The lineup for each show is subject to change, and there is a two-drink minimum to help support the local bar scene.",Sunday Night 3-Day Weekend “Crazy Funny Asians” Comedy Showcase (SF)
34,Golden Gate Park (Peacock Meadow),"Sunday, February 19, 2023  - 8:00 am to 9:00 am",Free,FREE,"240 John F Kennedy Dr, San Francisco, CA 94117Golden Gate ParkSan Francisco",,Free Yoga in Golden Gate Park’s “Peacock Meadow” Glowing Forest
35,37th and Ortega (SF),"Sunday, February 19, 2023  - 9:00 am to 3:00 pm",Free,FREE,"37th Ave and Ortega St, San Francisco, CASunset DistrictSan Francisco","The Outer Sunset Farmers Market & Mercantile is a weekly market featuring farmers, ranchers, food artisans, live music, children’s activities, vendors, makers, merchants, artists, and local organizations. The market is open to the public every Sunday from 9 am to 2 pm, rain or shine, and is located on 37th Avenue between Ortega and Quintara in San Francisco.",Outer Sunset Farmers Market & Mercantile
36,Manny's,"Sunday, February 19, 2023 - 10:00 am to 11:00 am",Free / RSVP,FREE*,"3092 16th St San Francisco, CA 94103Mission DistrictSan Francisco","Tired? Sunday Funday. Wired? Sunday done-day. Make our neighborhood better, brunch with cool people (sorry not sorry, we’re biased), get deals to some fave local spots, and wrap it up before the Sunday Scaries hit with an easy hour of picking up trash around our neighborhood with friends and the community!

This event is about having a fun day out, getting to know your neighbors, and doing something good for the community.",“Manny’s Neighborhood Trash Cleanup” w/ $1 Margaritas & Free Burritos (SF)
37,JFK Drive Lindy Hop Spot,"Sunday, February 19, 2023  - 11:00 am to 2:00 pm",Free,Free,"JFK Dr. & Music Concourse Dr, San Francisco, CA Golden Gate Park San Francisco","The event is about free outdoor swing dancing in Golden Gate Park. The event is held every Sunday, even on holidays.",“Lindy in the Park” Swing Dance Party (Golden Gate Park)
38,Skatin' Place,"Sunday, February 19, 2023 - 1:00 pm to 5:00 pm",FREE,FREE,"6th Ave. and Kennedy Drive, San Francisco, CA Golden Gate Park San Francisco","There is a place in San Francisco's Golden Gate Park that is heaven for Bay Area inline skaters and roller skaters who like to boogie to the funky beat on wheels. 

The Godfather of Skate brings his mobile DJ unit and plays groovy tunes for you to skate to. On most Sundays, there's usually someone willing to teach you a few choreographed roller disco dance moves. 

Golden Gate Park Sunday Roller Disco Party
Most Sundays | Noon to 5 pm
6th Ave & Kennedy Drive, Golden Gate Park
FREE

The area is called, ""Skatin' Place."" It is located at 6th Avenue and Kennedy Drive in the park. It has been officially dedicated and recognized as the home for outdoor roller skating in the San Francisco. Skatin' Place is available for skating every day. The group skates there every Sunday from noon to 5 pm. Skaters gather on Wednesdays from about 3 to 5 pm and on Saturdays from 1 to 5 pm. During Daylight Saving Time, they extend the time to 6 pm.",Golden Gate Park Sunday Roller Disco Party (SF)
39,Condor Club,"Monday, February 20, 2023 - 7:30 pm to 9:00 pm",,Free with code FUNCHEAP (limited tickets),"560 Broadway, San Francisco, CANorth BeachSan Francisco","The Condor Club is a gentlemen's club that has been around for over 50 years. They have a rich history and were the birthplace of the world's first topless and bottomless entertainment. Starting on Monday nights, you can hear dirty jokes from real dirty comedians and some of SF's top local comics.",FREE TIX: SF’s Dirty Joke Night at a Legendary Strip Club (North Beach)
40,Condor Club,"Monday, February 20, 2023 - 7:30 pm to 9:00 pm",,Free with code FUNCHEAP (limited tickets),"560 Broadway, San Francisco, CANorth BeachSan Francisco","The Condor Club will be hosting a ""dirty comedy night"" starting on Monday. The event will feature local comedians and some of the top comedians from around the country.",FREE TIX: SF’s Dirty Joke Night at a Legendary Strip Club (North Beach)
41,Emporium SF,"Monday, February 20, 2023 - 4:00 pm to 2:00 am",No age requirement,FREE* (4 free game token if you show your California ID),"616 Divisadero St San Francisco, CA",The event is about giving out free game tokens to California residents.,SF Arcade Bar “Emporium” Free Game Token Night (Every Monday)
42,Madrone Art Bar,"Monday, February 20, 2023 - 7:00 pm to 2:00 am",NoPaSan Francisco,Free before 8pm; $5 after,"500 Divisadero Street, San Francisco, CA 94117",,“Motown On Mondays” DJ Night (Madrone Art Bar)
43,Fillmore Center Plaza,"Tuesday, February 21, 2023  - 5:00 pm to 10:00 pm",,Free / RSVP,"1475 Fillmore St. San Francisco, CA 94115Fillmore DistrictSan Francisco","The Village Project will host this year’s annual Mardi Gras, San Francisco Style on Tuesday, February 21st.

The event will feature a free community blues concert at the Fillmore Plaza, Zydeco Music, a second line processional, creative costumes, good food and colorful beads, a family friendly carnival atmosphere, and a second line parade led by SambaFunk and The David Hardiman 2nd Line Band.",SF’s Mardi Gras & Fat Tuesday Parade & Festival in the Fillmore (2023)
44,Fillmore Center Plaza,"Tuesday, February 21, 2023 - 5:00 pm to 10:00 pm",,Free,"1475 Fillmore St. San Francisco, CA 94115Fillmore DistrictSan Francisco","The Village Project will host this year’s annual Mardi Gras, San Francisco Style on Tuesday, February 21st.

This event will celebrate Fat Tuesday with great blues, Zydeco Music, a second line processional, creative costumes, good food and colorful beads.",SF’s Mardi Gras & Fat Tuesday Parade & Festival in the Fillmore (2023)
45,The Punch Line,"Tuesday, February 21, 2023 - 8:00 pm to 10:00 pm",18 & over with valid photo ID,Free with RSVP,"444 Battery Street, San Francisco, CA 94111Financial DistrictSan Francisco",,SF’s Iconic Punchline Comedy Club: Secret Guest List (Feb. 21)
46,Tope Lounge,"Tuesday, February 21, 2023  - 8:00 pm to 9:30 pm",,FREE* with code FUNCHEAP (limited tickets),"1326 Grant Avenue, San Francisco, CANorth BeachSan Francisco",The event is a comedy night at a North Beach bar that has undergone a remodel.,FREE TIX: HellaFunny’s Brand New North Beach Comedy Blast (Opening Night)
47,SF Eagle,"Tuesday, February 21, 2023 - 6:30 pm to 8:30 pm",No age requirement,FREE,"398 12th St., San Francisco, CA SoMa San Francisco",This is an improv workshop in a LGBTQ+ leather bar. Expect the topics we explore to be R-Rated.,Fists of Improv: LGBTQ+ Leather Bar’s Free Improv Workshop (SF)
48,Neck of The Woods,"Tuesday, February 21, 2023 - 7:00 pm",Free,Free,"406 Clement Street, San Francisco, CA Richmond District San Francisco",,Comedy Blast at Neck Of The Woods with Danny Dechi & Friends
49,Milk Bar,"Tuesday, February 21, 2023 - 8:00 pm to 10:00 pm",,FREE,"1840 Haight Street, San Francisco, CAUpper HaightSan Francisco",,Paradise Comedy: A Stand Up Comedy Debate Show (SF)
50,Cobb's Comedy Club,"Wednesday, February 22, 2023 - 8:00 pm to 10:00 pm",18 & over with valid photo ID,Free with RSVP,"915 Columbus Ave, San Francisco, CA 94133North BeachSan Francisco",Funcheap and HellaFunny are taking over Cobb's Comedy Club for one night of comedy. You can get on the secret guest list and see some of SF's top comedians.,Secret Guest List: Cobb’s Free Comedy Night (Feb. 22)
51,Cobb's Comedy Club,"Wednesday, February 22, 2023 - 8:00 pm to 10:00 pm",18 & over with valid photo ID,Free with RSVP,"915 Columbus Ave, San Francisco, CA 94133North BeachSan Francisco","Funcheap and HellaFunny are taking over Cobb's Comedy Club for one night of comedy. Admission is free with RSVP, but the show can vary depending on the lineup.",Secret Guest List: Cobb’s Free Comedy Night (Feb. 22)
52,Japanese Tea Garden,"Wednesday, February 22, 2023  - 9:00 am to 10:00 am",,FREE,"75 Hagiwara Tea Garden Dr, San Francisco, CA","The Japanese Tea Garden provides visitors from around the world with an opportunity to experience the natural beauty, tranquility and harmony of a Japanese-style garden in the heart of San Francisco’s Golden Gate Park. 

The Japanese Tea Garden is a popular attraction in San Francisco that features classic elements such as an arched drum bridge, pagodas, stone lanterns, stepping stone paths, native Japanese plants, serene koi ponds and a zen garden. The garden is open from March to September and offers free hours to residents of San Francisco.",Free Admission Hour “Japanese Tea Garden” at Golden Gate Park (SF)
53,Rye Bar,"Wednesday, February 22, 2023 - 6:00 pm to 12:00 am",Free,Free,"688 Geary St. San Francisco, CA 94102TenderloinSan Francisco",The event is about free hot dogs with every Hornitos cocktail purchase.,“Wiener Wednesday” Free Hot Dog Night at Rye (SF)
54,Circus Center,"Thursday, February 23, 2023 - All Day",Enter To Win,WIN*,"755 Frederick St., San Francisco, CA Sunset District San Francisco",The Circus Center is hosting a contest in which people can enter to win a free 90-minute flying trapeze class.,Win Tix: Take a Swing on SF’s Only Flying Trapeze (90-Minute Class)
55,Circus Center,"Thursday, February 23, 2023 - All Day",Enter To Win,WIN*,"755 Frederick St., San Francisco, CA Sunset District San Francisco","Some evil web browsers and adblocker plug-ins disable our contest entry form. Please try a different browser,  or if you're behind a corporate firewall, you may need to try on your home computer.

Ready to fly? Try something new and enter to win a free 90-minute Flying Trapeze class for you and a friend at San Francisco’s Circus Center.

Perfect for beginners, highly-trained instructors will take you through “ground school,” teach you all the basics and then get you up and swinging and doing basic tricks on San Francisco’s ONLY flying trapeze.

There are seven “All Levels” trapeze classes for you to choose from each week including on weekends and in the evenings.

Want to give the circus a try? Join us for $5 Fridays on February 24, 2023. The Circus Center resumes their popular Friday night out for just the third time in two years so you can try your hand at juggling, plate spinning and balancing acts, plus watch a short flying trapeze performance from the Circus Center Flyers and win prizes. Got another $5? You can get in the air! Go through “ground school” training and then take your swing on SF’s only flying trapeze",Win Tix: Take a Swing on SF’s Only Flying Trapeze (90-Minute Class)
56,Circus Center,"Thursday, February 23, 2023 - All Day",Enter To Win,WIN*,"755 Frederick St., San Francisco, CA Sunset District San Francisco","The Circus Center is hosting a contest to find the best flyers. 

The Circus Center is hosting a contest to find the best flyers. The contest has seven ""All Levels"" trapeze classes for flyers to choose from each week.",Win Tix: Take a Swing on SF’s Only Flying Trapeze (90-Minute Class)
57,Asian Art Museum,"Thursday, February 23, 2023 - 5:00 pm to 8:00 pm",13-17,"$10 for adults, $8.50 for seniors, students and youths","200 Larkin Street San Francisco, CA Civic Center San Francisco","The Asian Art Museum is open until 8 pm on Thursdays and general admission is just $10 (that's half-off). Plus Special exhibitions are now included with general admission tickets!You can spend an evening in their beautiful building enjoying the galleries, fun talks, lively gatherings and intimate hangs with artists.Except for certain special events, general admission tickets are $10 for adults, $8.50 for seniors, $7 for students and youths (age 13-17).",Asian Art Museum’s $10 Thursday Nights (SF)
58,Del Mar,"Thursday, February 23, 2023 - 7:00 pm to 2:00 am",No cover all night,Free,"2125 Lombard St, San Francisco, CA 94123Cow Hollow, MarinaSan Francisco",,“Throwback Thursday” at Del Mar: ’90s to ’00s Party (SF)
